Symbol,Name,ReportDate,FiscalDateEnding,Estimate,Currency
ED,Consolidated Edison Inc,2023-11-02,2023-09-30,1.66,USD
EFX,Equifax Inc,2023-10-18,2023-09-30,1.78,USD
EG,Everest Group Ltd,2023-10-25,2023-09-30,7.68,USD
EIX,Edison International,2023-11-01,2023-09-30,1.55,USD
EL,Estee Lauder Cos. Inc - Class A,2023-11-01,2023-09-30,-0.19,USD
ELV,Elevance Health Inc,2023-10-18,2023-09-30,8.43,USD
EMN,Eastman Chemical Company,2023-10-25,2023-09-30,1.48,USD
EMR,Emerson Electric Company,2023-10-30,2023-09-30,1.31,USD
ENPH,Enphase Energy Inc,2023-10-23,2023-09-30,1.01,USD
EOG,EOG Resources Inc,2023-11-02,2023-09-30,2.86,USD
EPAM,EPAM Systems Inc,2023-11-01,2023-09-30,2.55,USD
EQIX,Equinix Inc,2023-10-25,2023-09-30,2.16,USD
EQR,Equity Residential Properties Trust,2023-10-31,2023-09-30,0.49,USD
EQT,EQT Corp,2023-10-25,2023-09-30,-0.14,USD
ES,Eversource Energy,2023-10-31,2023-09-30,1,USD
ESS,Essex Property Trust Inc,2023-10-26,2023-09-30,1.41,USD
ETN,Eaton Corporation plc,2023-10-31,2023-09-30,2.33,USD
ETR,Entergy Corp,2023-10-31,2023-09-30,2.92,USD
ETSY,Etsy Inc,2023-10-31,2023-09-30,0.52,USD
EVRG,Evergy Inc,2023-11-02,2023-09-30,1.95,USD
EW,Edwards Lifesciences Corp,2023-10-25,2023-09-30,0.59,USD
EXC,Exelon Corp,2023-11-02,2023-09-30,0.7,USD
EXPD,Expeditors International Of Washington Inc,2023-11-07,2023-09-30,1.29,USD
EXPE,Expedia Group Inc,2023-11-01,2023-09-30,4.99,USD
EXR,Extra Space Storage Inc,2023-10-30,2023-09-30,0.98,USD
F,Ford Motor Company,2023-10-24,2023-09-30,0.45,USD
FANG,Diamondback Energy Inc,2023-11-06,2023-09-30,4.63,USD
FAST,Fastenal Company,2023-10-12,2023-09-30,0.5,USD
FCX,Freeport-McMoRan Inc,2023-10-19,2023-09-30,0.35,USD
FDS,Factset Research Systems Inc,2023-12-18,2023-11-30,4.11,USD
FDX,Fedex Corp,2023-12-19,2023-11-30,4.16,USD
FE,Firstenergy Corp,2023-10-26,2023-09-30,0.86,USD
FFIV,F5 Inc,2023-10-24,2023-09-30,3.21,USD
FI,Fiserv Inc,2023-10-25,2023-09-30,1.93,USD
FICO,Fair Isaac Corp,2023-11-07,2023-09-30,5.23,USD
FIS,Fidelity National Information Services Inc,2023-11-01,2023-09-30,1.57,USD
FITB,Fifth Third Bancorp,2023-10-19,2023-09-30,0.82,USD
FLT,Fleetcor Technologies Inc,2023-10-31,2023-09-30,4.5,USD
FMC,FMC Corp,2023-10-30,2023-09-30,1.06,USD
FOX,Fox Corporation - Class B,2023-11-01,2023-09-30,1.03,USD
FOXA,Fox Corporation - Class A,2023-10-30,2023-09-30,1.02,USD
FRT,Federal Realty Investment Trust.,2023-11-01,2023-09-30,0.6564,USD
FSLR,First Solar Inc,2023-10-25,2023-09-30,2.13,USD
FTNT,Fortinet Inc,2023-11-02,2023-09-30,0.36,USD
FTV,Fortive Corp,2023-10-25,2023-09-30,0.85,USD
GD,General Dynamics Corp,2023-10-25,2023-09-30,2.91,USD
GE,General Electric Company,2023-10-24,2023-09-30,0.55,USD
GEHC,GE HealthCare Technologies Inc,2023-11-29,2023-09-30,0.89,USD
GEN,Gen Digital Inc,2023-11-07,2023-09-30,0.48,USD
GILD,Gilead Sciences Inc,2023-10-25,2023-09-30,1.92,USD
GIS,General Mills Inc,2023-12-18,2023-11-30,1.17,USD
GL,Globe Life Inc,2023-10-24,2023-09-30,2.64,USD
GLW,Corning Inc,2023-10-24,2023-09-30,0.47,USD
GM,General Motors Company,2023-10-24,2023-09-30,1.91,USD
GNRC,Generac Holdings Inc,2023-10-17,2023-09-30,1.51,USD
GOOG,Alphabet Inc - Class C,2023-10-23,2023-09-30,1.44,USD
GOOGL,Alphabet Inc - Class A,2023-10-23,2023-09-30,1.44,USD
GPC,Genuine Parts Company,2023-10-19,2023-09-30,2.4,USD
GPN,Global Payments Inc,2023-10-30,2023-09-30,2.71,USD
GRMN,Garmin Ltd,2023-11-01,2023-09-30,1.29,USD
GS,Goldman Sachs Group Inc,2023-10-17,2023-09-30,6.14,USD
GWW,W.W. Grainger Inc,2023-10-26,2023-09-30,8.94,USD
HAL,Halliburton Company,2023-10-24,2023-09-30,0.77,USD
HAS,Hasbro Inc,2023-10-16,2023-09-30,1.8,USD
HBAN,Huntington Bancshares Inc,2023-10-20,2023-09-30,0.32,USD
HCA,HCA Healthcare Inc,2023-10-24,2023-09-30,4.04,USD
HD,Home Depot Inc,2023-11-14,2023-10-31,3.8,USD
HES,Hess Corporation,2023-10-25,2023-09-30,0.99,USD
HIG,Hartford Financial Services Group Inc,2023-10-26,2023-09-30,1.98,USD
HII,Huntington Ingalls Industries Inc,2023-11-02,2023-09-30,3.39,USD
HLT,Hilton Worldwide Holdings Inc,2023-10-25,2023-09-30,1.66,USD
HOLX,Hologic Inc,2023-11-09,2023-09-30,0.85,USD
HON,Honeywell International Inc,2023-10-26,2023-09-30,2.23,USD
HPE,Hewlett Packard Enterprise Company,2023-11-27,2023-10-31,0.51,USD
HPQ,HP Inc,2023-11-20,2023-10-31,0.9,USD
HRL,Hormel Foods Corp,2023-11-28,2023-10-31,0.45,USD
HSIC,Henry Schein Inc,2023-10-30,2023-09-30,1.32,USD
HST,Host Hotels & Resorts Inc,2023-11-01,2023-10-31,0.11,USD
HSY,Hershey Company,2023-10-26,2023-09-30,2.46,USD
